,term,score
0,garden,0.49229847989435377
1,melon,0.2187505110008756
2,talk,0.17238417280271984
3,flirtation,0.14583367400058372
4,chesterfield,0.13746686655960186
5,lucknow,0.13153052220766182
6,botanical,0.12316371476667992
7,skin,0.10292421862181796
8,mouth,0.0856252235467668
9,thing,0.08365766911169559
10,tragic,0.08068869830068853
11,neighbor,0.08025425938791414
12,door,0.07860257121853255
13,general,0.07440480973239304
14,posing,0.07291683700029186
15,masonic,0.07291683700029186
16,sprout,0.07291683700029186
17,plebe,0.07291683700029186
18,handshaking,0.07291683700029186
19,scissor,0.07291683700029186
